Arthur's Pass			arthur_s_pass_6764_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6764/Arthur_s_Pass.6764.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	arthur's pass	arthur's|pass				
Ashburton		Hakatere	ashburton_6588_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6588/Ashburton.6588.main_glosses.mb.mp4	4.3.1	lower head	new zealand place names	ashburton	ashburton			hakatere	hakatere
Ashhurst		Otangaki	ashhurst_7028_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/7028/Ashhurst.7028.main_glosses.mb.mp4	6.3.1	in front of body	new zealand place names	ashhurst	ashhurst			otangaki	otangaki
ashtray		pae pungarehu	ashtray_2949_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2949/ashtray.2949.main_glosses.mb.r480x360.mp4	6.1.2	in front of body	house and garden	ashtray	ashtray			pae pungarehu	pae pungarehu
Asia-Pacific		Āhia-Te Moana-nui-ā-Kiwa	asia_pacific_2618_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2618/Asia_Pacific.2618.main_glosses.sp.r480x360.mp4	3.1.1	in front of body	countries and cities|nationality and ethnicity	asia-pacific	asia|pacific			ahia-te moana-nui-a-kiwa	ahia-te moana-nui-a-kiwa
asthma		mate huangō	asthma_1594_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1594/asthma.1594.main_glosses.rp.r480x360.mp4	2.1.1	chest	health	asthma	asthma			mate huango	mate huango
Atawhai		Atawhai	atawhai_6589_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6589/Atawhai.6589.main_glosses.mb.mp4	2.1.1	in front of body	new zealand place names	atawhai	atawhai			atawhai	atawhai
attic		papa runga whare	attic_6502_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6502/attic.6502.main_glosses.dh.r480x360.mp4	1.1.3	in front of face	house and garden	attic	attic			papa runga whare	papa runga whare
attract		kukume mai	attract_1508_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1508/attract.1508.main_glosses.vs.r480x360.mp4	2.2.1	in front of body	actions and activities	attract	attract			kukume mai	kukume mai
Auckland		Tāmakimakaurau	auckland_2619_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2619/Auckland.2619.main_glosses.sp.r480x360.mp4	5.1.1	fingers/thumb	new zealand place names	auckland	auckland			tamakimakaurau	tamakimakaurau
Auckland		Tāmakimakaurau	auckland_2259_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2259/Auckland.2259.main_glosses.mb.r480x360.mp4	5.1.1	in front of face	new zealand place names	auckland	auckland			tamakimakaurau	tamakimakaurau
Auckland		Tāmakimakaurau	auckland_2623_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2623/Auckland.2623.main_glosses.jo.r480x360.mp4	5.1.1	fingers/thumb	new zealand place names	auckland	auckland			tamakimakaurau	tamakimakaurau
Auckland		Tāmakimakaurau	auckland_2348_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2348/Auckland.2348.main_glosses.sp.r480x360.mp4	5.1.1	fingers/thumb	new zealand place names	auckland	auckland			tamakimakaurau	tamakimakaurau
Auckland		Tāmakimakaurau	auckland_6912_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6912/Auckland.6912.main_glosses.mb.mp4	5.4.1	in front of body	new zealand place names	auckland	auckland			tamakimakaurau	tamakimakaurau
auction		hoko kairapu	auction_6056_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6056/auction.6056.main_glosses.rp.r480x360.mp4	3.5.1	in front of body	actions and activities|religions	auction	auction			hoko kairapu	hoko kairapu
August		Hereturikōkā, Ākuhata	august_2621_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2621/month_august.2621.main_glosses.mb.r480x360.mp4	5.1.1	fingers/thumb	time	august	august			hereturikoka, akuhata	hereturikoka|akuhata
aunt		whaea kēkē, whaea	aunt_3687_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3687/aunt.3687.main_glosses.mb.r480x360.mp4	3.1.1	in front of body	family	aunt	aunt			whaea keke, whaea	whaea keke|whaea
avocado		raho pūru	avocado_1815_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1815/avocado.1815.main_glosses.mb.r480x360.mp4	2.3.1	in front of body	food and drink	avocado	avocado			raho puru	raho puru
avocado		raho pūru	avocado_6367_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6367/avocado.6367.main_glosses.spa.r480x360.mp4	1.3.1	palm	food and drink	avocado	avocado			raho puru	raho puru
Avondale			avondale_6913_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6913/Avondale.6913.main_glosses.mb.mp4	2.3.1	back of hand	new zealand place names	avondale	avondale				
Avondale			avondale_7027_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/7027/Avondale.7027.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	avondale	avondale				
Avonhead			avonhead_6765_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6765/Avonhead.6765.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	avonhead	avonhead				
Avonhead			avonhead_6766_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6766/Avonhead.6766.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	avonhead	avonhead				
Avonside			avonside_6767_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6767/Avonside.6767.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	avonside	avonside				
Awapuni		Awapuni	awapuni_6590_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6590/Awapuni.6590.main_glosses.mb.mp4	3.3.1	in front of body	new zealand place names	awapuni	awapuni			awapuni	awapuni
Awatoto		Awatoto	awatoto_7026_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/7026/Awatoto.7026.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	awatoto	awatoto			awatoto	awatoto
Awatoto		Awatoto	awatoto_6591_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6591/Awatoto.6591.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	awatoto	awatoto			awatoto	awatoto
bacon		pēkana	bacon_4482_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4482/bacon.4482.main_glosses.sp.r480x360.mp4	6.5.1	in front of body	food and drink	bacon	bacon			pekana	pekana
bacteria		huakita	bacteria_5001_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5001/bacteria.5001.main_glosses.sp.r480x360.mp4	2.3.1	back of hand	science	bacteria	bacteria			huakita	huakita
badminton		pūkura	badminton_3796_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3796/badminton.3796.main_glosses.rp.r480x360.mp4	3.5.1	in front of face	sports, recreation and hobbies	badminton	badminton			pukura	pukura
baked beans		pīni pakaka	baked_beans_770_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/770/baked_beans.770.main_glosses.mb.r480x360.mp4	1.1.1	in front of body	food and drink	baked beans	baked|beans			pini pakaka	pini pakaka
Balaclava			balaclava_6914_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6914/Balaclava.6914.main_glosses.mb.mp4	3.2.1	top of head	new zealand place names	balaclava	balaclava				
Balclutha			balclutha_6768_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6768/Balclutha.6768.main_glosses.mb.mp4	4.2.1	in front of body	new zealand place names	balclutha	balclutha				
bald		hewa, pākira	bald_987_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/987/helmet.987.main_glosses.rp.r480x360.mp4	1.3.1	top of head	body and appearance	bald	bald			hewa, pakira	hewa|pakira
bald		hewa, pākira	bald_2041_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2041/bald.2041.main_glosses.mb.r480x360.mp4	5.1.2	top of head	body and appearance	bald	bald			hewa, pakira	hewa|pakira
ball		pōro, paoro	ball_5496_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5496/ball.5496.main_glosses.rp.r480x360.mp4	2.3.1	in front of body	sports, recreation and hobbies	ball	ball			poro, paoro	poro|paoro
ball		pōro, paoro	ball_4942_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4942/ball.4942.main_glosses.mb.r480x360.mp4	2.3.1	in front of body	house and garden|sports, recreation and hobbies	ball	ball			poro, paoro	poro|paoro
ballet		kanikani hītekiteki	ballet_6058_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6058/ballet.6058.main_glosses.sh.r480x360.mp4	8.1.1	back of hand	actions and activities|sports, recreation and hobbies	ballet	ballet			kanikani hitekiteki	kanikani hitekiteki
ballet		kanikani hītekiteki	ballet_6059_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6059/ballet.6059.main_glosses.sh.r480x360.mp4	4.3.1	in front of body	actions and activities|sports, recreation and hobbies	ballet	ballet			kanikani hitekiteki	kanikani hitekiteki
banana		panana	banana_3082_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3082/banana.3082.main_glosses.mb.r480x360.mp4	4.3.1	in front of body	food and drink	banana	banana			panana	panana
banana		panana	banana_4081_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4081/banana.4081.main_glosses.mb.r480x360.mp4	3.5.1	fingers/thumb	food and drink	banana	banana			panana	panana
bank, deposit		pēke	bank_4943_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4943/bank.4943.main_glosses.sh.r480x360.mp4	4.2.1	in front of body	money|places	bank, deposit	bank|deposit			peke	peke
barbecue		rorerore	barbecue_3889_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3889/barbecue.3889.main_glosses.mb.r480x360.mp4	3.5.1	in front of body	actions and activities|food and drink|house and garden	barbecue	barbecue			rorerore	rorerore
